label,cluster_no
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
chickpea,7
